Sl.No.,Factor,Bengaluru Central,Ramanagara,Tumkuru,Kolara,Chikkaballapura,Mysore,Mandya,Chamarajanagar,Hassan,Chikkamagaluru,Mangaluru,Puttur,Davanagere,Shivamoga,Chitradurga,Kempegowda Bus Station,KSRTC
1,Physical performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Schedules,622,455,581,503,521,985,422,466,523,497,508,484,345,322,277,NA,7511
3,(As on last day),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Fleet Held,730,491,615,538,574,1090,447,509,552,526,567,539,367,353,301,NA,8199
5,(As on last day),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Fleet Utilisation (%),75.72287105,87.14558779,89.40965953,89.13401182,89.93641934,83.82874284,91.96868009,91.21807466,94.51216603,95.90163934,86.71131477,87.99777737,95.8279121,87.9453049,90.38327488,NA,88.30789058
7,% off road  vehicles,4.139142593,2.282644987,3.119809345,5.472606496,2.724474237,3.326970275,2.617449664,2.888015717,3.891340649,2.040142118,2.925625661,3.11168735,3.135503632,4.800011166,6.100758054,NA,3.423109284
8,Schedule kms,143.457,87.56,124.86019,107.45,112.50246,192.15,91.19,96.6,111.96,111.72,118.21,96.04583,74.60398,72.06838,61.33952,NA,1601.71736
9,Effective Kilometers,151.8206,84.26816,118.13059,106.37,112.36148,191.02,90.4,97.18,113.19,112.87,117.39,94.78423,76.05,73.9,59.91293,NA,1599.63799
10,( in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Vehicle Utilisation,449.2624278,322.8544528,353.3934336,363.6332558,359.4302166,339.5657569,360.4882542,343.121851,357.1158142,366.8064086,391.1435426,327.0553223,358.5285479,390.9494411,360.9886786,NA,362.1881659
12,(in kms.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Gross kms.,156.59298,86.56825,121.23014,109.52456,116.5481,196.65,92.89,99.79,118.17786,117.09,119.71,96.68,79.29645,78.387,62.93083,NA,1652.06617
14,HSD consumed,36.01318,17.1051,23.14252,20.99962,21.77079,43.05,18.27,19.43,23.69484,22.73543,26.85,20.11275,15.33001,15.95575,11.95594,NA,336.40593
15,KMPL (HSD),4.35,5.06,5.24,5.22,5.35,4.57,5.08,5.14,4.99,5.15,4.46,4.81,5.17,4.91,5.26,NA,4.91
16,No.of Break  downs,17,47,36,10,25,58,27,23,28,15,31,22,20,22,22,NA,403
17,Rate of BD per 10000 km,0.011197426,0.055774328,0.030474748,0.009401147,0.022249618,0.030363313,0.029867257,0.023667421,0.024737168,0.013289625,0.026407701,0.023210612,0.026298488,0.029769959,0.036719953,NA,0.0251932
18,No. of Accidents,8,8,7,10,9,13,13,7,10,9,17,6,8,9,5,NA,139
19,Rate of Accdt per 100000 km,0.052693771,0.094935026,0.059256455,0.094011469,0.080098625,0.068055701,0.14380531,0.072031282,0.088347027,0.079737751,0.144816424,0.063301669,0.105193951,0.121786198,0.08345444,NA,0.08689466
20,Financial performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Traffic Revenue,7150.15,2780.12,3869.93,3209.89,3728.64,7004.16,2813.38,3363.94,3588.67,3667.71,4813.08,3325.34,2872.57,2594.62,2014.91,37.56,56834.67
22,(Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Other Revenue,719.88,139.27,324.15,237.3,328.47,156.81,95.62,150.73,299.78,182.14,313.23,231.87,214.18,84.28,134.37,229.72,3841.8
24,(Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Gross Revenue,7870.03,2919.39,4194.08,3447.19,4057.11,7160.97,2909,3514.67,3888.45,3849.85,5126.31,3557.21,3086.75,2678.9,2149.28,267.28,60676.47
26,(Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Cost of Operation,8097.47,3701.93,5054.44,4777.52,4438.88,9738.62,3948.7,3911.99,5208.59,4607.26,5663.66,4345.39,3321.19,3394.68,2468.51,474.02,73152.85
28,(Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Margin  (Rs. in lakh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,a) On traffic revenue,-947.32,-921.81,-1184.51,-1567.63,-710.24,-2734.46,-1135.32,-548.05,-1619.92,-939.55,-850.58,-1020.05,-448.62,-800.06,-453.6,-436.46,-16318.18
31,b) on gross revenue,-227.44,-782.54,-860.36,-1330.33,-381.77,-2577.65,-1039.7,-397.32,-1320.14,-757.41,-537.35,-788.18,-234.44,-715.78,-319.23,-206.74,-12476.38
32,EPKM (in paise)    ,4709.6,3299.1,3276,3017.7,3318.4,3666.7,3112.1,3461.6,3170.5,3249.5,4100.1,3508.3,3777.2,3511,3363.1,NA,3553
33,(On traffic revenue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,EPKM (in paise)    ,5183.8,3464.4,3550.4,3240.8,3610.8,3748.8,3217.9,3616.7,3435.3,3410.9,4366.9,3753,4058.8,3625,3587.3,NA,3793.1
35,(On Gross revenue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,CPKM (in paise),5333.6,4393,4278.7,4491.4,3950.5,5098.2,4368,4025.5,4601.6,4081.9,4824.7,4584.5,4367.1,4593.6,4120.2,0,4573.1
